expert_id,decode_r2,encode_linear_r2,encode_periodic_r2,periodic_gain,dim0_corr,dim0_linear_r2,dim0_periodic_r2,dim1_corr,dim1_linear_r2,dim1_periodic_r2,dim2_corr,dim2_linear_r2,dim2_periodic_r2
0,0.00036591728301760273,0.00011989836625192485,0.0002556552820273487,0.00013575691577542387,0.01883095763332781,0.0003546049653881944,0.00045134283234504746,0.0003542952957137365,1.2552515671337972e-07,0.00016753894180943085,-0.002228140078764944,4.96460821086675e-06,0.00014808407192756778
1,0.000830913658507404,0.0002926715021715302,0.000573429498006206,0.0002807579958346758,-0.020772967108472384,0.000431516162489487,0.0004813913689092342,0.009622078551030153,9.258439564219234e-05,0.0006531340478744818,-0.01881260078731902,0.00035391394838291124,0.0005857630772349021
2,0.000289605423418271,0.00011277328381072611,0.00029909532027239116,0.00018632203646166506,0.016724866196323157,0.0002797211492848728,0.0004094953399541579,-0.007448729946424876,5.548357781492985e-05,0.00022311787119344562,-0.0017649714818872982,3.115124332375707e-06,0.00026467274966957
3,0.0018717650776893802,0.0004344243884453203,0.001439145208689152,0.0010047208202438318,-0.002215254248552733,4.907351385918801e-06,0.00029451854809692257,0.005225437646684459,2.7305198599392178e-05,0.0016156604750312553,-0.035651937049066634,0.0012710606153506498,0.0024072566029392783
4,0.00013813956481234513,4.573109887932395e-05,0.00023349332564448488,0.00018776222676516094,0.0030293629082286844,9.177039629881811e-06,0.00011693589561256879,-0.010168691462903773,0.00010340228606742219,0.0005328321680263537,-0.004961246913912202,2.4613970940667862e-05,5.0711913294532174e-05
5,0.002050616796250626,0.000751714993415383,0.003402265574206975,0.002650550580791592,-0.026321167371834497,0.0006928038518163593,0.0013178061389680362,0.039232989299480034,0.0015392274493729596,0.008782593103662695,0.004807668775724213,2.3113679056829817e-05,0.00010639747999019455
6,1.0919669550801814e-05,2.8046550615279386e-06,0.00023060640615069072,0.00022780175108916279,-0.0026488832838212476,7.01658265145344e-06,0.00015281843930137207,0.0005082712202735597,2.5833963379628955e-07,0.00023796428690436855,-0.0010672595278677355,1.1390428993340862e-06,0.00030103649224633156
7,0.0004257222014910633,0.00010160604998462237,0.00041795601219392814,0.0003163499622093058,-0.01244826077203718,0.00015495919624874954,0.0004918948824356173,0.006277615792020965,3.9408460032142045e-05,0.0003291947180721344,-0.010509542981174042,0.00011045049367297555,0.00043277843607403277
8,0.0006231404136819441,0.00022340657892135538,0.0026532907528135454,0.00242988417389219,0.01113007127761148,0.00012387848664485723,0.004051781025647294,-0.02182739523260811,0.00047643518264017803,0.0019783102430913635,0.008360984839077731,6.990606747903083e-05,0.001929780989701979
9,0.0010205443178497031,0.00024855678058917824,0.0018784844252537718,0.0016299276446645936,-0.01290589623085195,0.00016656215752142156,0.0026349851823413983,-0.010534124158002044,0.0001109677717758828,0.0004770540733727291,0.021636552693770888,0.0004681404124702304,0.0025234140200471877
10,0.0010510597660434717,0.0003451571419372061,0.0013722632921555622,0.001027106150218356,-0.027606001079973675,0.0007620912956273207,0.00110161480632065,0.015036425007231038,0.00022609407699825113,0.001859855876895522,-0.006876485525733464,4.7286053186046395e-05,0.0011553191932505147
11,1.4032276536068977e-05,3.0686994683855793e-06,0.00022112954878258004,0.00021806084931419445,-0.00018306898779403964,3.3514254371702634e-08,0.00021009662061033385,-0.0029600146349074465,8.761686638658617e-06,0.00030512329437093477,-0.0006410128797368653,4.10897512126418e-07,0.00014816873136647146
12,0.00013642303206562456,4.0557639813550615e-05,0.0003521245303815812,0.0003115668905680306,-0.009840460884829304,9.683467042576055e-05,0.000585056278146423,0.0018971562603520451,3.599201876092195e-06,0.0001780871202350376,0.0046085840709439285,2.1239047138799094e-05,0.000293230192763283
13,0.0005943606570616433,0.00018155776165392398,0.0008029027024278138,0.0006213449407738898,-0.0005365673976108946,2.879045719605955e-07,0.0014073622588114398,-0.022865717511789844,0.0005228410373288028,0.0008269826294792226,-0.004641588420034077,2.1544343061008497e-05,0.00017436321899277907
14,0.00025465382201683706,9.684702884552958e-05,0.00021913731401742206,0.0001222902851718925,-0.014149043905066461,0.000200195443427309,0.0003728622378541546,-0.002531500847287716,6.408496539989095e-06,5.440576481519077e-05,0.009161721812486999,8.393714656929063e-05,0.00023014393938292077
15,0.00020921570033272108,8.025034872830943e-05,0.0010594077523427374,0.000979157403614428,-0.008489644644395538,7.207406618803258e-05,0.0008427020072218072,-0.007574341151908461,5.737064388544599e-05,0.0011993283799168752,0.010550181804667857,0.00011130633611144969,0.0011361928698895296
16,0.002347892073264468,0.0009858969592450768,0.0016949096917171502,0.0007090127324720734,-0.024896563089406014,0.0006198388536647892,0.0009389346163519718,-0.04474076772927761,0.0020017362970051744,0.003278333001233924,0.018333459222559256,0.00033611572706526704,0.0008674614575655548
17,6.062789733085605e-05,1.4159348812881056e-05,0.000312705930860598,0.00029854658204771695,-0.0031121145239937204,9.685256810443299e-06,0.0004725201081388075,0.0025441797343947734,6.4728505209110665e-06,0.0002401276730340518,-0.0051302962007243585,2.6319939107288803e-05,0.00022547001140893475
18,2.2810192014666164e-05,5.999918298082996e-06,0.00023528403132677678,0.00022928411302869378,-0.003724989796118366,1.3875548980801788e-05,0.0004545289254518359,0.0019369839849285443,3.751906957893958e-06,0.00017740563389467834,-0.0006101630563640499,3.7229895555324077e-07,7.391753463381612e-05
19,0.00010273325542886624,4.218722033455524e-05,0.00026932841407830327,0.00022714119374374803,0.0050873142015162446,2.5880765784913606e-05,0.00013537823762799217,0.0026670198343427555,7.112994796831806e-06,0.0003900294278378347,0.009673050212938994,9.356790042192031e-05,0.000282577576769083
20,0.0006303477485769537,0.0002190156281880832,0.00049704335896635,0.0002780277307782668,-0.020520347905640158,0.0004210846781682598,0.0008643968018258175,0.0007297570628305782,5.325453709126293e-07,0.00021486315596286332,0.015343717314432782,0.00023542966102507723,0.0004118701191103691
21,0.0012295590372738419,0.0005266919131764839,0.0008199349898859731,0.00029324307670948924,0.02170163752994253,0.0004709610714812573,0.0009675512536164721,0.03196155570996268,0.0010215410434014638,0.0012579857077122947,0.009358078042366701,8.757362464673069e-05,0.00023426800832915262
22,0.00019537075742603882,6.435604032265878e-05,0.0013882900775227987,0.0013239340372001398,0.00855990255055246,7.32719316750563e-05,0.0014067997842126534,-0.010733258242371115,0.00011520283249766283,0.00045317347347606507,-0.0021432117943070545,4.593356795257186e-06,0.0023048969748796777
23,0.00012081435037714083,2.000782007190634e-05,0.00020337941120063263,0.00018337159112872628,-0.00566322004939903,3.207206132782581e-05,0.00022881704432775596,0.004656428727747042,2.1682328496308578e-05,0.0001222560646448878,-0.0025038111733216694,6.269070391584641e-06,0.00025906512462925413
24,2.7437725043544248e-05,1.0783231695602838e-05,0.00017139044236003098,0.00016060721066442815,-0.003608358192534296,1.3020248845418969e-05,0.0003423212176046908,0.003801053724560717,1.4448009417189489e-05,0.00011792756802209148,0.0022093973893791414,4.881436824200058e-06,5.392254145331066e-05
25,0.0005202131472230587,0.00017597622259372483,0.0002903627540724596,0.00011438653147873476,0.01360668158480835,0.00018514178375050871,0.00027233888049260635,0.0008805901071975531,7.754389368397341e-07,9.345787975834075e-05,0.01849355144621033,0.0003420114450938261,0.0005052915019664317
26,0.0002387840055182444,7.80433489199206e-05,0.00019579463151046342,0.00011775128259054282,-0.011993687857312692,0.00014384854841853478,0.0001848885441619874,-0.0025945638226799713,6.731761429956684e-06,0.00013012310985005549,0.009140554518796272,8.354973691127032e-05,0.0002723722405193474
