expert_id,decode_r2,encode_linear_r2,encode_periodic_r2,periodic_gain,dim0_corr,dim0_linear_r2,dim0_periodic_r2,dim1_corr,dim1_linear_r2,dim1_periodic_r2,dim2_corr,dim2_linear_r2,dim2_periodic_r2
0,0.00015174174274223962,4.487875504174029e-05,0.000196564806280497,0.0001516860512387567,0.000493762976095558,2.438018765760219e-07,9.250272177985241e-05,-0.008762746423701636,7.678572488689639e-05,0.0002336616158472582,0.0075899102999899964,5.7606738361748455e-05,0.0002635300812143804
1,4.905467289884058e-05,1.376377468886858e-05,0.00016678773571354721,0.00015302396102467863,0.0035074807875427427,1.230242147476357e-05,8.204408933831786e-05,0.002419280999083427,5.852920552440466e-06,0.00011428156129889011,0.004809987737987777,2.3135982039401704e-05,0.00030403755650343367
2,0.0003118521597017532,0.00011039268098374706,0.0003634260874120961,0.00025303340642834904,-0.011259999310567186,0.00012678758447381977,0.0003190254462619446,-0.014070095195201054,0.00019796757880174987,0.00047354923816089745,-0.0025343400868591305,6.422879675671567e-06,0.00029770357781344625
3,0.0005582924483915619,0.00019704161996014768,0.0005211121504147634,0.00032407053045461576,-0.013978771428591576,0.0001954060506526023,0.00044062604703554165,0.01963587442574904,0.0003855675644638401,0.0009099787247522917,0.003186101813169136,1.0151244764000644e-05,0.0002127316794564571
4,6.24460905110924e-05,3.810074753511176e-05,0.00020646902765775188,0.00016836828012264013,-0.00542432182522021,2.9423267263073427e-05,0.00021210214718225817,0.00527255390364739,2.7799824666940864e-05,0.00024676540120072143,0.0075550744983451405,5.707915067532099e-05,0.00016053953459027603
5,0.0005177904685239598,0.0002908777321520839,0.0006757994960999714,0.00038492176394788746,-0.019144920532016368,0.00036652798217740035,0.0008258084428309775,0.0012092867936451751,1.462374550231793e-06,4.2865944570258385e-05,-0.02246425693693694,0.0005046428397286196,0.0011587241008986782
6,9.241763904066502e-05,1.5037097714036088e-05,0.00025705340095327767,0.0002420163032392416,0.0007547956204542397,5.697164289220069e-07,0.0002552039866292599,-0.004633042603701204,2.146508376787981e-05,0.0003390368819579104,0.004803799844460155,2.3076492945306448e-05,0.0001769193342726627
7,9.943933486911138e-05,4.768619368078486e-05,0.0003328509597402274,0.0002851647660594425,-0.006574941342894875,4.322985366289611e-05,0.0002935565410290275,-0.002929078169948259,8.579498925520568e-06,0.0005479033764671515,0.009552446202628451,9.12492284539379e-05,0.00015709296172450316
8,0.0003057054729223019,0.00011634726895685492,0.0003484807335382885,0.00023213346458143358,-0.01589970597895662,0.00025280065021715536,0.0006629980279024839,0.007991703235717585,6.386732060770228e-05,0.0001227360343116768,0.005689801055017706,3.2373836045707094e-05,0.00025970813840070495
9,3.8393256281854526e-05,7.042671844814663e-06,0.00013385948543550205,0.0001268168135906874,-0.0016468632142680973,2.7121584467160176e-06,0.00013089316594572242,-0.003012101246724607,9.072753920480459e-06,0.00020214215786784617,0.0030566490093881984,9.343103167247513e-06,6.854313249293753e-05
10,7.695581313016397e-05,4.448773068503146e-05,0.00026633723989155644,0.000221849509206525,-0.006303883525318463,3.973894750008977e-05,0.00021518843579226843,0.005455676667479732,2.9764407899257606e-05,0.00024186161936978756,-0.007997489397015459,6.3959836655747e-05,0.00034196166451261334
11,0.00017298776156748907,5.049137480236018e-05,0.00024824033670615514,0.00019774896190379496,-0.004526952562275469,2.0493299500823348e-05,0.00023177268380625282,0.011426718167047786,0.0001305698880693651,0.0004546662240317856,0.000641043552900051,4.1093683689208405e-07,5.828210228042696e-05
12,0.00017791055514826404,5.541893912889654e-05,0.0002454952304603575,0.00019007629133146095,0.006812810818133498,4.641439124386526e-05,0.00017931222074862863,-0.010709852956227162,0.00011470095034460392,0.0003504817164453611,0.002267482259743752,5.141475798220441e-06,0.00020669175418708274
13,0.0013047390832231498,0.0006175670264410386,0.001224412606567545,0.0006068455801265064,-0.024394900339337472,0.0005951111625661643,0.0014787768965049963,-0.00912993592519325,8.33557299981802e-05,0.0005268605101587109,-0.03426710064710391,0.0011742341867587713,0.0016676004130389277
14,0.00030726023848870465,0.00012145707329092037,0.0005245141418880328,0.00040305706859711243,-0.01644532194076094,0.0002704486137351525,0.0007477653818551699,-0.005528629625043023,3.056574553084168e-05,0.00034091998029206483,-0.007959702293853201,6.335686060676693e-05,0.00048485706351686364
15,0.00010687991447189127,4.828904418215559e-05,0.0002985878840328822,0.00025029883985072665,0.0033899308536195047,1.1491631192739327e-05,0.00021906890939249468,-0.009745749280659653,9.49796290414806e-05,0.000511313369107147,0.006196440293624438,3.839587231224684e-05,0.00016538137359900507
16,3.21019702785863e-05,1.1439870060914181e-05,0.0001231706782088097,0.00011173080814789552,-0.0030123943041481817,9.074519442875406e-06,0.00015824821459275995,-0.0047565485958865035,2.2624754545175207e-05,0.0001384364107199776,0.0016187452532966428,2.62033619469193e-06,7.282740931369158e-05
17,4.419421699530801e-05,3.274040236319239e-05,0.0002999347285876919,0.0002671943262244995,-0.006116160635467839,3.740742091862259e-05,0.0002223171850174177,0.006309359769266984,3.980802069791789e-05,0.00032751145770237855,0.004583204716425294,2.1005765473036675e-05,0.0003499755430432794
18,0.00010022066401449425,1.983866274827643e-05,0.0001454124896696681,0.00012557382692139168,0.00498381892462188,2.4838451073150303e-05,0.00010400532800736162,-0.0022149258994437087,4.905896739959559e-06,0.00013768333328756377,-0.005456339471832188,2.9771640431719426e-05,0.0001945488077140789
19,0.000352939375724004,0.00012143928862654955,0.0002653585277384944,0.00014391923911194482,-0.016646699504751828,0.0002771126044015526,0.00043625074085407167,-0.008325896958682261,6.932056016650812e-05,0.0002699013011491225,-0.004229030776837608,1.7884701311587925e-05,8.992354121228896e-05
20,9.607031911718078e-05,9.74076463985026e-06,0.00025645525816360887,0.0002467144935237586,0.0022768092101677897,5.18386018011352e-06,0.0003367252934246556,-0.004646332634318416,2.1588406948991334e-05,0.0002950725839168111,-0.0015652561420113548,2.450026790445925e-06,0.0001375678971493599
21,0.00020887284695270125,3.8759047345663746e-05,0.00034685645583143465,0.0003080974084857709,-0.010554422088117604,0.0001113958256144798,0.0005041121827323858,0.0021144168726462283,4.470758711017098e-06,0.00023525421323533635,-0.0006407477752839421,4.105577114943415e-07,0.0003012029715265818
22,0.0012406096463655203,0.0004545056834424077,0.005187542835558852,0.004733037152116444,0.024812913685239132,0.0006156806855510677,0.0024429525786426876,0.002007660146347269,4.030699263246618e-06,0.006235045626401647,0.027272800837333324,0.0007438056655129088,0.006884630301632222
23,0.00801095733597701,0.002512383240344455,0.006543729638456397,0.004031346398111943,0.007114681411800509,5.061869159150856e-05,0.004234849768590454,0.04186503456508912,0.001752681119135735,0.008230694665412486,0.07572218902214671,0.005733849910306121,0.007165644481366251
24,0.00018051322971013306,6.611901604924864e-05,0.00022317356781368738,0.00015705455176443875,0.010308689282873146,0.00010626907473065828,0.000273836759050905,-0.0003775817444876444,1.425679740929553e-07,0.00015736633438190317,-0.009588816686281403,9.194540544299468e-05,0.00023831761000825402
25,0.00024158375961891299,0.00010743782121758194,0.00036526768810977533,0.0002578298668921934,-0.011202809378517146,0.0001255029379713113,0.0004365166253793573,0.005085502230784686,2.586233293933038e-05,0.0002873090274355672,0.013074715780547402,0.00017094819274210415,0.00037197741151440145
26,3.9131386771029675e-05,1.5904294478138088e-05,0.00021974549911703742,0.00020384120463889932,0.0013926243018933466,1.9394024457497494e-06,0.0003490935845971155,0.006028661325795088,3.634475738167886e-05,5.674540071809453e-05,-0.0030706226741288468,9.428723606985656e-06,0.0002533975120359022
27,0.00010718652120955685,2.985350198717966e-05,0.0002294150508223014,0.00019956154883512175,0.004585594376522386,2.102767578604503e-05,0.0003460651814850557,0.00045668766365519455,2.0856362192844813e-07,7.205714234670424e-05,-0.008265849415137628,6.83242665535655e-05,0.00027012282863514425
28,0.00018282837187388878,5.1329873855180765e-05,0.000272448556423092,0.00022111868256791126,-0.0074225094392884865,5.5093646376458416e-05,0.00032755865111155913,0.0006307632442477878,3.9786227046256784e-07,0.00019635557334107823,0.009924621550389002,9.849811291862132e-05,0.00029343144481663863
29,3.3717770544616776e-05,9.773322974249155e-07,0.0004932099185127973,0.0004922325862153724,-0.0002201384612467642,4.8460942481121094e-08,0.0004626240813895288,-0.001002913963711979,1.0058364184883928e-06,0.0003887076843646087,-0.001370291768500117,1.8776995313052325e-06,0.0006282979897842544
30,0.00017452412670881934,5.2819486881479825e-05,0.0003017936456198485,0.0002489741587383687,-0.007689836938449313,5.91335921404923e-05,0.00042735451818320946,-0.009951851538238025,9.903934903932043e-05,0.00021249590395133744,-0.0005343402141126987,2.8551946462673783e-07,0.00026553051472499867
31,0.00015561832101551598,5.739506994099456e-05,0.00022119805460940611,0.00016380298466841156,-0.006428326853613145,4.132338613671571e-05,0.0001920186348469688,0.011395311716255456,0.00012985312911040214,0.00035354074988436235,-0.0010043378793981122,1.0086945758658317e-06,0.0001180347790968872
32,3.098429451409146e-05,9.651083218783127e-06,0.0002938020549943336,0.0002841509717755505,0.0017252767645919256,2.9765799144376714e-06,0.0002576934334275194,-0.003248109146877472,1.0550213030091626e-05,0.00047373396203664875,-0.003927652824746726,1.542645671182008e-05,0.0001499787695188326
33,4.7740895102288405e-05,1.2687056142324238e-05,0.000657862085285732,0.0006451750291434077,0.0005111508056425439,2.612751460739915e-07,0.0005963837466083088,0.004922128935487062,2.422735325746661e-05,0.00042331644528792456,0.00368409283590135,1.3572540023432111e-05,0.0009538860639609625
34,2.6587347668249883e-05,8.25915157465218e-06,0.00030008774955917844,0.00029182859798452626,-0.0003609980088897237,1.303195623636455e-07,0.00016020103763325633,-0.004806063599426458,2.3098247321828858e-05,0.0004386072523057116,0.0012445432255123751,1.5488878397640349e-06,0.0003014549587385673
35,2.9500518472724835e-05,5.213300705871522e-06,0.00020441271935959607,0.00019919941865372454,0.0002254804180346388,5.0841418741676137e-08,0.00033194448088413875,-0.0017509912073264125,3.065970208493418e-06,0.00012647758109540774,-0.0035387978877834177,1.2523090490379474e-05,0.00015481609609924174
36,0.00011495909267156268,5.729652533189208e-05,0.00025964052095391504,0.00020234399562202296,-0.0057451675056828695,3.300694966901219e-05,0.00019840181210895036,0.009612556288802473,9.240123840603687e-05,0.0004193005572069586,-0.006817726008034613,4.648138792062717e-05,0.00016121919354583625
